5,58,菊,
6,19,静,
6,32,興,
6,45,菊,
7,0,興,
7,7,三,
7,23,静,
7,34,興,
7,46,菊,
8,7,三,
8,20,菊,
8,32,興,
8,45,菊,
9,0,興,
9,13,静,
9,24,沼,
9,32,菊,
9,51,菊,
10,0,沼,
10,12,静,
10,31,菊,
10,47,菊,
10,59,沼,
11,13,菊,
11,30,菊,
11,50,菊,
12,0,沼,
12,13,菊,
12,32,静,
12,49,菊,
12,59,沼,
13,13,静,
13,31,静,
13,50,菊,
14,0,沼,
14,13,菊,
14,32,静,
14,50,菊,
14,59,沼,
15,11,静,
15,32,三,
15,50,菊,
16,14,興,
16,23,沼,
16,32,三,
16,43,三,
16,59,三,
17,14,三,
17,20,沼,
17,32,静,
17,43,三,
17,54,三,
18,13,熱,
18,21,沼,
18,31,三,
18,47,菊,
19,1,静,
19,13,静,
19,24,熱,
19,40,三,
19,58,静,
20,16,静,
20,27,沼,
20,41,熱,
20,57,静,
21,17,熱,
21,44,静,
22,3,静,
22,25,静,
22,52,静,
23,20,島,
23,50,沼,
24,11,掛,
